Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Mr4TfsPrereqs,Firefox 57.0,Prereq Contains Login And Open Project,2018-01-22 17:01:44,2018-01-22 17:02:00,15.859s,ERROR
,,,,,,
Test Cases/StandAlone-Prereqs/Mr4TfsLogin-StandAlone,Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:58,13.080s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:45,0.006s,PASSED
"Statement - tfsServerUrl = ""M4Tfs-StandAlone/LoginPage/mr4tfs-TFSServerURL""",Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:45,0.001s,PASSED
"Statement - tfsUserName = ""M4Tfs-StandAlone/LoginPage/mr4tfs-EmailAddress""",Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:45,0.001s,PASSED
"Statement - tfsPassword = ""M4Tfs-StandAlone/LoginPage/mr4tfs-Password""",Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:45,0.001s,PASSED
"Statement - signInBtn = ""M4Tfs-StandAlone/LoginPage/mr4tfs-SignInBtn""",Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:45,0.001s,PASSED
"Statement - browseProjectButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:45,0.001s,PASSED
openBrowser,Firefox 57.0,,2018-01-22 17:01:45,2018-01-22 17:01:50,5.246s,PASSED
maximizeWindow,Firefox 57.0,,2018-01-22 17:01:50,2018-01-22 17:01:50,0.049s,PASSED
navigateToUrl,Firefox 57.0,,2018-01-22 17:01:50,2018-01-22 17:01:55,5.264s,PASSED
setText,Firefox 57.0,,2018-01-22 17:01:55,2018-01-22 17:01:55,0.093s,PASSED
setText,Firefox 57.0,,2018-01-22 17:01:55,2018-01-22 17:01:56,0.052s,PASSED
setText,Firefox 57.0,,2018-01-22 17:01:56,2018-01-22 17:01:56,0.043s,PASSED
click,Firefox 57.0,,2018-01-22 17:01:56,2018-01-22 17:01:58,2.141s,PASSED
waitForElementVisible,Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.037s,PASSED
Statement - browseProjectButtonText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(browseProjectButton)),Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.023s,PASSED
"Statement - assert browseProjectButtonText == ""Browse""",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.001s,PASSED
Start listener action : sampleAfterTestCase,Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.002s,PASSED
,,,,,,
Test Cases/StandAlone-Prereqs/OpenProject,Firefox 57.0,"Define Collection Name, And Project Name.",2018-01-22 17:01:58,2018-01-22 17:02:00,2.138s,ERROR
Start listener action : sampleBeforeTestCase,Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.001s,PASSED
"Statement - browseButton = ""M4Tfs-StandAlone/RecentProjectPage/mr4tfs-_BrowseProjects""",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.000s,PASSED
"Statement - navigateButton = ""Object Repository/M4Tfs-StandAlone/RecentProjectPage/mr4tfs-ProjectNavigate""",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.001s,PASSED
click,Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.220s,PASSED
"Statement - collectionList = CustomKeywords.edev.automatekatlon.com.GetCustomTestObject.getCustomTestObjectBy(""css"", CollectionValue(GetCollectionName()))",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.000s,PASSED
"Statement - return com.kms.katalon.core.testdata.TestDataFactory.findTestData(Configurations).getValue(CollectionName, 1)",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.003s,PASSED
"Statement - return ((#treeviewProjects > ul > li[title="" + collectionName) + ""] span)",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.008s,PASSED
"Statement - className = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(collectionList, ""class"", STOP_ON_FAILURE)",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.026s,PASSED
"Statement - If (className.contains(""k-i-expand""))",Firefox 57.0,,2018-01-22 17:01:58,2018-01-22 17:01:58,0.245s,PASSED
